SimulationTraderName,PMTraderName,SimulationStrategyName
ZZAP_DLy@10.101.7.1@41207,ZZAP_DLy@192.168.1.29@11807,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_ZZCF@10.101.7.1@41208,ZZAP_ZZCF@192.168.1.29@11808,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_ZZCJ@10.101.7.1@41209,ZZAP_ZZCJ@192.168.1.29@11809,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_ZZOI@10.101.7.1@41210,ZZAP_ZZOI@192.168.1.29@11810,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_ZZRM@10.101.7.1@41211,ZZAP_ZZRM@192.168.1.29@11811,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_ZZSR@10.101.7.1@41212,ZZAP_ZZSR@192.168.1.29@11812,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
SQfu_DLl@10.101.7.2@27103,SQfu_DLl@192.168.1.29@13703,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLpp@10.101.7.2@27108,SQfu_DLpp@192.168.1.29@13708,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_DLv@10.101.7.2@27113,SQfu_DLv@192.168.1.29@13713,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQbu@10.101.7.2@27118,SQfu_SQbu@192.168.1.29@13718,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQru@10.101.7.2@27123,SQfu_SQru@192.168.1.29@13723,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_SQsc@10.101.7.2@27128,SQfu_SQsc@192.168.1.29@13728,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZMA@10.101.7.2@27133,SQfu_ZZMA@192.168.1.29@13733,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
SQfu_ZZTA@10.101.7.2@27138,SQfu_ZZTA@192.168.1.29@13738,Cn.All.60B.PairX(MFA)@CnCom.Id807035.CnOil_All
DLa@10.101.7.2@40101,DLa@192.168.1.55@10001,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLa@10.101.7.2@40102,DLa@192.168.1.55@10002,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLa@10.101.7.2@40103,DLa@192.168.1.55@10003,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLcs@10.101.7.2@40104,DLcs@192.168.1.55@10004,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLcs@10.101.7.2@40105,DLcs@192.168.1.55@10005,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLcs@10.101.7.2@40106,DLcs@192.168.1.55@10006,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLj@10.101.7.2@40110,DLj@192.168.1.55@10010,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLj@10.101.7.2@40111,DLj@192.168.1.55@10011,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLj@10.101.7.2@40112,DLj@192.168.1.55@10012,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLjd@10.101.7.2@40107,DLjd@192.168.1.55@10007,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLjd@10.101.7.2@40108,DLjd@192.168.1.55@10008,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLjd@10.101.7.2@40109,DLjd@192.168.1.55@10009,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLl@10.101.7.2@40113,DLl@192.168.1.55@10013,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLl@10.101.7.2@40114,DLl@192.168.1.55@10014,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLl@10.101.7.2@40115,DLl@192.168.1.55@10015,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLm@10.101.7.2@40116,DLm@192.168.1.55@10016,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLm@10.101.7.2@40117,DLm@192.168.1.55@10017,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLm@10.101.7.2@40118,DLm@192.168.1.55@10018,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLp@10.101.7.2@40119,DLp@192.168.1.55@10019,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLp@10.101.7.2@40120,DLp@192.168.1.55@10020,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLp@10.101.7.2@40121,DLp@192.168.1.55@10021,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLy@10.101.7.2@40122,DLy@192.168.1.55@10022,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLy@10.101.7.2@40123,DLy@192.168.1.55@10023,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLy@10.101.7.2@40124,DLy@192.168.1.55@10024,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
SQrb@10.101.7.2@40125,SQrb@192.168.1.55@10025,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
SQrb@10.101.7.2@40126,SQrb@192.168.1.55@10026,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
SQrb@10.101.7.2@40127,SQrb@192.168.1.55@10027,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
SQru@10.101.7.2@40128,SQru@192.168.1.55@10028,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
SQru@10.101.7.2@40129,SQru@192.168.1.55@10029,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
SQru@10.101.7.2@40130,SQru@192.168.1.55@10030,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZAP@10.101.7.2@41110,ZZAP@192.168.1.55@10310,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3R
ZZAP@10.101.7.2@41111,ZZAP@192.168.1.55@10311,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3R
ZZAP@10.101.7.2@41112,ZZAP@192.168.1.55@10312,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3R
ZZCF@10.101.7.2@40131,ZZCF@192.168.1.55@10031,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZCF@10.101.7.2@40132,ZZCF@192.168.1.55@10032,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZCF@10.101.7.2@40133,ZZCF@192.168.1.55@10033,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZMA@10.101.7.2@40134,ZZMA@192.168.1.55@10034,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZMA@10.101.7.2@40135,ZZMA@192.168.1.55@10035,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZMA@10.101.7.2@40136,ZZMA@192.168.1.55@10036,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZRM@10.101.7.2@40137,ZZRM@192.168.1.55@10037,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZRM@10.101.7.2@40138,ZZRM@192.168.1.55@10038,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZRM@10.101.7.2@40139,ZZRM@192.168.1.55@10039,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZTA@10.101.7.2@40140,ZZTA@192.168.1.55@10040,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZTA@10.101.7.2@40141,ZZTA@192.168.1.55@10041,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZTA@10.101.7.2@40142,ZZTA@192.168.1.55@10042,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZTC@10.101.7.2@40143,ZZTC@192.168.1.55@10043,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZTC@10.101.7.2@40144,ZZTC@192.168.1.55@10044,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
ZZTC@10.101.7.2@40145,ZZTC@192.168.1.55@10045,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3
DLm_DLy@10.101.7.2@40701,DLm_DLy@192.168.1.55@11401,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComA3N
DLm_ZZSR@10.101.7.2@40702,DLm_ZZSR@192.168.1.55@11402,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComA3N
DLp_DLy@10.101.7.2@40703,DLp_DLy@192.168.1.55@11403,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComA3N
DLp_ZZOI@10.101.7.2@40704,DLp_ZZOI@192.168.1.55@11404,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComA3N
DLi_DLjm@10.101.7.2@40801,DLi_DLjm@192.168.1.55@11501,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
