0_name_trader,allocation_0,allocation_scaler_0,allocation_scaler_1,allocation_scaler_2,name_0_strategy,name_1_super,name_2_super,MixMultiplier_on_strategy,MixPercentage_on_strategy,MixMultiplier_AIO,Strategy_Scaler
DLi_ZZSF@192.168.1.61@35205,0.0284767777692331,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.09990490144601133,0.1000000000000002,0.009990490144601153,2.8029277175978624
DLi_ZZSM@192.168.1.61@35206,0.0303439092453713,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.10645534713273751,0.1000000000000002,0.010645534713273772,2.8029277175978624
DLi_ZZTC@192.168.1.61@35207,0.0281461032544808,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.0987447981128762,0.1000000000000002,0.00987447981128764,2.8029277175978624
DLjm_SQhc@192.168.1.61@35208,0.0503858469907865,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.17676835204743377,0.1000000000000002,0.01767683520474341,2.8029277175978624
DLjm_SQrb@192.168.1.61@35209,0.0513758499542187,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1802415732557621,0.1000000000000002,0.018024157325576246,2.8029277175978624
DLjm_ZZSF@192.168.1.61@35210,0.0493831617029889,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1732506375198086,0.1000000000000002,0.017325063751980896,2.8029277175978624
DLj_DLjm@192.168.1.61@35211,0.0573456972892439,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.2011855513450882,0.1000000000000002,0.02011855513450886,2.8029277175978624
DLj_SQhc@192.168.1.61@35212,0.0511880275579836,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1795826371170851,0.1000000000000002,0.01795826371170855,2.8029277175978624
DLj_SQrb@192.168.1.61@35213,0.0500571865433691,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1756153146541402,0.1000000000000002,0.017561531465414056,2.8029277175978624
DLj_ZZSF@192.168.1.61@35214,0.0412319915624432,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.14465393826682219,0.1000000000000002,0.014465393826682247,2.8029277175978624
